"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to perform a CRUD operation of the application","I authorize to the application","SUCCESS","2022-06-21T19:19:58.954+01:00[Europe/London]","0.0","5.52"
"As a user I would like to perform a CRUD operation of the application","I create a booking on the application","SUCCESS","2022-06-21T19:20:05.485+01:00[Europe/London]","0.0","1.32"
"As a user I would like to perform a CRUD operation of the application","I read a newly created booking from the application","SUCCESS","2022-06-21T19:20:06.849+01:00[Europe/London]","0.0","1.0"
"As a user I would like to perform a CRUD operation of the application","I update a newly created booking from the application","SUCCESS","2022-06-21T19:20:07.883+01:00[Europe/London]","0.0","0.86"
"As a user I would like to perform a CRUD operation of the application","I delete a newly created booking from the application","SUCCESS","2022-06-21T19:20:08.789+01:00[Europe/London]","0.0","1.91"
